date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:18:06	122936/122936	---M--	200	added ('OK')	application/pdf	etag:%2252627b-1e038-4df6a980%22	http://www.merck.com/product/usa/pi_circulars/p/primaxin/primaxin_iv_ifu.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/p/primaxin/primaxin_iv_ifu.pdf	(from http://www.merck.com/product/home.html)
16:18:14	243484/243484	---M--	200	added ('OK')	application/pdf	etag:%2279cd86-3b71c-76923bc0%22	http://www.merck.com/product/usa/pi_circulars/p/primaxin/primaxin_iv_pi.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/p/primaxin/primaxin_iv_pi.pdf	(from http://www.merck.com/product/home.html)
16:18:28	190809/190809	---M--	200	added ('OK')	application/pdf	etag:%2279cd84-2e959-aef66140%22	http://www.merck.com/product/usa/pi_circulars/p/prinivil/prinivil_pi.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/p/prinivil/prinivil_pi.pdf	(from http://www.merck.com/product/home.html)
16:18:41	161089/161089	---M--	200	added ('OK')	application/pdf	etag:%2279cd89-27541-4df6a980%22	http://www.merck.com/product/usa/pi_circulars/p/propecia/propecia_ppi.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/p/propecia/propecia_ppi.pdf	(from http://www.merck.com/product/home.html)
16:19:21	322479/322479	---M--	200	added ('OK')	application/pdf	etag:%2279cd7d-4ebaf-6f0b8fc0%22	http://www.merck.com/product/usa/pi_circulars/p/proquad/proquad_pi.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/p/proquad/proquad_pi.pdf	(from http://www.merck.com/product/home.html)
16:19:33	320332/320332	---M--	200	added ('OK')	application/pdf	etag:%2279cd7b-4e34c-6f0b8fc0%22	http://www.merck.com/product/usa/pi_circulars/p/proquad/proquad_pi_4171.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/p/proquad/proquad_pi_4171.pdf	(from http://www.merck.com/product/home.html)
16:19:51	111974/111974	---M--	200	added ('OK')	application/pdf	etag:%2279cd8c-1b566-4df6a980%22	http://www.merck.com/product/usa/pi_circulars/p/proscar/proscar_ppi.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/p/proscar/proscar_ppi.pdf	(from http://www.merck.com/product/home.html)
16:19:58	699698/699698	---M--	200	added ('OK')	application/pdf	etag:%2279cd7f-aad32-4df6a980%22	http://www.merck.com/product/usa/pi_circulars/p/propecia/propecia_pi.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/p/propecia/propecia_pi.pdf	(from http://www.merck.com/product/home.html)
16:20:15	95398/95398	---M--	200	added ('OK')	application/pdf	etag:%226b5f9b-174a6-e758ea40%22	http://www.merck.com/product/usa/pi_circulars/r/ragwitek/ragwitek_mg.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/r/ragwitek/ragwitek_mg.pdf	(from http://www.merck.com/product/home.html)
16:20:18	164558/164558	---M--	200	added ('OK')	application/pdf	etag:%2232a0b1-282ce-f0af1bc0%22	http://www.merck.com/product/usa/pi_circulars/r/ragwitek/ragwitek_pi.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/r/ragwitek/ragwitek_pi.pdf	(from http://www.merck.com/product/home.html)
16:20:33	90259/90259	---M--	200	added ('OK')	application/pdf	etag:%22192fa8-16093-73f1cb80%22	http://www.merck.com/product/usa/pi_circulars/r/rebetol/rebetol_mg.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/r/rebetol/rebetol_mg.pdf	(from http://www.merck.com/product/home.html)
16:20:59	271955/271955	---M--	200	added ('OK')	application/pdf	etag:%22c6be68-42653-796d9a80%22	http://www.merck.com/product/usa/pi_circulars/r/rebetol/rebetol_pi.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/r/rebetol/rebetol_pi.pdf	(from http://www.merck.com/product/home.html)
16:21:01	174081/174081	---M--	200	added ('OK')	application/pdf	etag:%2228f749-2a801-4df6a980%22	http://www.merck.com/product/usa/pi_circulars/r/recombivax_hb/recombivax_pi.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/r/recombivax_hb/recombivax_pi.pdf	(from http://www.merck.com/product/home.html)
16:21:16	1598156/1598156	---M--	200	added ('OK')	application/pdf	etag:%22854591-1862cc-a4e68380%22	http://www.merck.com/product/usa/pi_circulars/p/pegintron/pegintron_redipen_ifu.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/p/pegintron/pegintron_redipen_ifu.pdf	(from http://www.merck.com/product/home.html)
16:21:55	332644/332644	---M--	200	added ('OK')	application/pdf	etag:%2286e16c-51364-7982b680%22	http://www.merck.com/product/usa/pi_circulars/r/remeron/remeron_tablets_mg.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/r/remeron/remeron_tablets_mg.pdf	(from http://www.merck.com/product/home.html)
16:22:15	473010/473010	---M--	200	added ('OK')	application/pdf	etag:%2286e16d-737b2-79ed8640%22	http://www.merck.com/product/usa/pi_circulars/r/remeron/remeron_tablets_pi.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/r/remeron/remeron_tablets_pi.pdf	(from http://www.merck.com/product/home.html)
16:22:32	466355/466355	---M--	200	added ('OK')	application/pdf	etag:%2272e19c-71db3-e0ce31c0%22	http://www.merck.com/product/usa/pi_circulars/r/remeron_soltab/remeron_soltab_pi.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/r/remeron_soltab/remeron_soltab_pi.pdf	(from http://www.merck.com/product/home.html)
16:22:51	221808/221808	---M--	200	added ('OK')	application/pdf	etag:%2259c4f9-36270-4df6a980%22	http://www.merck.com/product/usa/pi_circulars/r/rotateq/rotateq_pi.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/r/rotateq/rotateq_pi.pdf	(from http://www.merck.com/product/home.html)
16:22:52	354285/354285	---M--	200	added ('OK')	application/pdf	etag:%2272e19b-567ed-dfcacb80%22	http://www.merck.com/product/usa/pi_circulars/r/remeron_soltab/remeron_soltab_mg.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/r/remeron_soltab/remeron_soltab_mg.pdf	(from http://www.merck.com/product/home.html)
16:22:54	1337053/1337053	---M--	200	added ('OK')	application/pdf	etag:%2279cd7a-1466dd-4df6a980%22	http://www.merck.com/product/usa/pi_circulars/p/proscar/proscar_pi.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/p/proscar/proscar_pi.pdf	(from http://www.merck.com/product/home.html)
16:22:59	166184/166184	---M--	200	added ('OK')	application/pdf	etag:%22afd836-28928-4df6a980%22	http://www.merck.com/product/usa/pi_circulars/r/rotateq/rotateq_ppi.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/r/rotateq/rotateq_ppi.pdf	(from http://www.merck.com/product/home.html)
16:23:04	79448/79448	---M--	200	added ('OK')	application/pdf	etag:%222bb07d-13658-4df6a980%22	http://www.merck.com/product/usa/pi_circulars/s/sinemet/sinemet_pi.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/s/sinemet/sinemet_pi.pdf	(from http://www.merck.com/product/home.html)
